"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"68","Catch and Release is an obsolete term. It is now Catch and Detain. Illegal Immigrants trying to come into the U.S.A… https://t.co/aJOnUS1dVO",FALSE,150068,NA,2018-11-18 19:55:24,TRUE,NA,"1064245710747590657",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",38962,FALSE,FALSE,NA,NA
"69","The Mayor of Tijuana, Mexico, just stated that “the City is ill-prepared to handle this many migrants, the backlog… https://t.co/3pknZ3OT9V",FALSE,113633,NA,2018-11-18 18:42:59,TRUE,NA,"1064227483187318784",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",31971,FALSE,FALSE,NA,NA
"70","So funny to see little Adam Schitt (D-CA) talking about the fact that Acting Attorney General Matt Whitaker was not… https://t.co/iUe5HWLVES",FALSE,133676,NA,2018-11-18 18:01:09,TRUE,NA,"1064216956679716864",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",36987,FALSE,FALSE,NA,NA
"71","I will be interviewed by Chris Wallace on @FoxNews at 2:00 P.M. and 7:00 P.M. Enjoy!",FALSE,58172,NA,2018-11-18 17:30:30,FALSE,NA,"1064209246114459648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",9664,FALSE,FALSE,NA,NA
"72","Incredible to be with our GREAT HEROES today in California. We will always be with you! https://t.co/B1MCTF83Zf",FALSE,105720,NA,2018-11-18 02:48:00,FALSE,NA,"1063987157650485249",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",22974,FALSE,FALSE,NA,NA
"73","Heading to California with @GOPLeader Kevin McCarthy, @RepLaMalfa, and @KenCalvert. Look forward to being with our… https://t.co/ywkoCW7dbE",FALSE,59076,NA,2018-11-17 16:47:07,TRUE,NA,"1063835936604090368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",11109,FALSE,FALSE,NA,NA
"74","....I can’t imagine any President having a better or closer relationship with their Vice President then the two of… https://t.co/R3ymvcwGYr",FALSE,84764,"realDonaldTrump",2018-11-17 16:42:20,TRUE,"1063834729584054272","1063834733430206465","25073877","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",19968,FALSE,FALSE,NA,NA
"75","The New York Times did a phony story, as usual, about my relationship with @VP Mike Pence. They made up sources and… https://t.co/w1aUmqrTYx",FALSE,78456,NA,2018-11-17 16:42:19,TRUE,NA,"1063834729584054272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",18394,FALSE,FALSE,NA,NA
"76","Congratulations to Andrew Gillum on having run a really tough and competitive race for Governor of the Great State… https://t.co/zFzIG6FQmZ",FALSE,68827,NA,2018-11-17 16:39:20,TRUE,NA,"1063833980720504832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",10939,FALSE,FALSE,NA,NA
"77","I can get Nancy Pelosi as many votes as she wants in order for her to be Speaker of the House. She deserves this vi… https://t.co/KiXwdFt4XQ",FALSE,66492,NA,2018-11-17 11:37:51,TRUE,NA,"1063758107229257728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",14036,FALSE,FALSE,NA,NA
"78","Thank you @JerryBrownGov. Look forward to joining you and @GavinNewsom tomorrow in California. We are with you! https://t.co/UuXWAadmov",FALSE,49474,NA,2018-11-17 03:14:02,FALSE,NA,"1063631319739953152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",10716,FALSE,FALSE,NA,NA
"79","....their country’s flag. Can this be possible? Yes, because it is all a BIG CON, and the American taxpayer is paying for it!",FALSE,111603,"realDonaldTrump",2018-11-17 00:43:36,FALSE,"1063593456579354624","1063593459695669254","25073877","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",26348,FALSE,FALSE,NA,NA
"80","It was my great honor to host a celebration of Diwali, the Hindu Festival of Lights, in the Roosevelt Room at the… https://t.co/RP1O31416e",FALSE,77442,NA,2018-11-13 21:20:48,TRUE,NA,"1062455263247155200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",17960,FALSE,FALSE,NA,NA
"81","Today, we gathered for Diwali, a holiday observed by Buddhists, Sikhs, and Jains throughout the United States &amp; aro… https://t.co/wiSpXHWqRb",FALSE,50663,NA,2018-11-13 21:03:38,TRUE,NA,"1062450942707228672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",11362,FALSE,FALSE,NA,NA
"82","We mourn for the lives lost and we pray for the victims of the California Wildfires. I want to thank the Firefighte… https://t.co/wryK9lH4h2",FALSE,68975,NA,2018-11-13 19:38:45,TRUE,NA,"1062429580521168896",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","realDonaldTrump",15683,FALSE,FALSE,NA,NA
"83","The story in the New York Times concerning North Korea developing missile bases is inaccurate. We fully know about… https://t.co/DleVG3zI5H",FALSE,125297,NA,2018-11-13 17:07:45,TRUE,NA,"1062391577807601664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",33934,FALSE,FALSE,NA,NA
"84","When will Bill Nelson concede in Florida? The characters running Broward and Palm Beach voting will not be able to… https://t.co/S98irOmlzj",FALSE,102117,NA,2018-11-13 16:32:09,TRUE,NA,"1062382618870726656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",26146,FALSE,FALSE,NA,NA
